dataFim,dataInicio,id,uri
2027-01-31,2023-02-01,57,https://dadosabertos.camara.leg.br/api/v2/legislaturas/57
2023-01-31,2019-02-01,56,https://dadosabertos.camara.leg.br/api/v2/legislaturas/56
2019-01-31,2015-02-01,55,https://dadosabertos.camara.leg.br/api/v2/legislaturas/55
2015-01-31,2011-02-01,54,https://dadosabertos.camara.leg.br/api/v2/legislaturas/54
2011-01-31,2007-02-01,53,https://dadosabertos.camara.leg.br/api/v2/legislaturas/53
2007-01-31,2003-02-01,52,https://dadosabertos.camara.leg.br/api/v2/legislaturas/52
2003-01-31,1999-02-01,51,https://dadosabertos.camara.leg.br/api/v2/legislaturas/51
1999-01-31,1995-02-01,50,https://dadosabertos.camara.leg.br/api/v2/legislaturas/50
1995-01-31,1991-02-01,49,https://dadosabertos.camara.leg.br/api/v2/legislaturas/49
1991-01-31,1987-02-01,48,https://dadosabertos.camara.leg.br/api/v2/legislaturas/48
1987-01-31,1983-02-01,47,https://dadosabertos.camara.leg.br/api/v2/legislaturas/47
1983-01-31,1979-02-01,46,https://dadosabertos.camara.leg.br/api/v2/legislaturas/46
1979-01-31,1975-02-01,45,https://dadosabertos.camara.leg.br/api/v2/legislaturas/45
1975-01-31,1971-02-01,44,https://dadosabertos.camara.leg.br/api/v2/legislaturas/44
1971-01-31,1967-02-01,43,https://dadosabertos.camara.leg.br/api/v2/legislaturas/43
