id,nome,sigla
36839,Partido Socialismo e Liberdade,PSOL
37901,Partido Novo,NOVO
36832,Partido Socialista Brasileiro,PSB
37906,Partido Liberal,PL
37903,Progressistas,PP
38010,Partido Renovação Democrática,PRD
36835,Partido da Social Democracia Brasileira,PSDB
37905,Cidadania,CIDADANIA
38011,Partido Missão,MISSÃO
36834,Partido Social Democrático,PSD
36779,Partido Comunista do Brasil,PCdoB
36898,Avante,AVANTE
36899,Movimento Democrático Brasileiro,MDB
36786,Partido Democrático Trabalhista,PDT
36896,Podemos,PODE
