descricaoTipo,periodo_eleitoral,total_eventos
Audiência Pública,Período Eleitoral,119
Audiência Pública,Pré-Eleição,7
Audiência Pública e Deliberação,Período Eleitoral,5
Audiência Pública e Deliberação,Pré-Eleição,3
Comissão Geral,Período Eleitoral,1
Comissão Geral,Pré-Eleição,1
Debate,Período Eleitoral,8
Debate,Pré-Eleição,6
Evento Técnico,Período Eleitoral,1
Homenagem,Período Eleitoral,1
Mesa Redonda,Período Eleitoral,22
Palestra,Período Eleitoral,1
Reunião,Período Eleitoral,3
Reunião Deliberativa,Período Eleitoral,236
Reunião Deliberativa,Pré-Eleição,37
Reunião Técnica,Período Eleitoral,39
Reunião Técnica,Pré-Eleição,16
Reunião de Comparecimento de Ministro(a),Período Eleitoral,17
Reunião de Eleição,Período Eleitoral,12
Reunião de Eleição,Pré-Eleição,7
Reunião de Instalação e Eleição,Período Eleitoral,18
Reunião de Instalação e Eleição,Pré-Eleição,31
Seminário,Período Eleitoral,14
Seminário,Pré-Eleição,6
Sessão Deliberativa,Período Eleitoral,26
Sessão Deliberativa,Pré-Eleição,22
Sessão Não Deliberativa Solene,Período Eleitoral,38
Sessão Não Deliberativa Solene,Pré-Eleição,19
Sessão Preparatória - Eleição,Pré-Eleição,1
Visita Oficial,Período Eleitoral,1
Visita Técnica,Período Eleitoral,7
Visita Técnica,Pré-Eleição,6
